BC,feat,trn_u,trn_s,val_u,val_s,PLD_u,PLD_s,LD1_u,LD1_s,IL1_u,IL1_s,LD2_u,LD2_s,IL2_u,IL2_s,method
3,E+T,29.252503,0.655187,22.666537,0.489294,18.010707,0.249554,10.619947,0.177944,10.121392,0.131465,6.598316,0.080035,11.782548,0.14471,FSNet
3,E+M,26.413416,0.567009,19.074056,0.53831,15.626896,0.306437,10.327335,0.25409,9.591943,0.246248,7.152868,0.129971,12.316375,0.279438,FSNet
3,E+T+M,29.370562,0.358364,22.922709,0.474145,18.454668,0.309079,11.618064,0.314145,10.896641,0.176743,7.395453,0.130918,12.16784,0.186331,FSNet
3,E,29.303907,0.067806,23.964541,0.099902,23.844716,0.047567,13.419367,0.078206,12.031413,0.037342,8.933214,0.049815,17.689604,0.053775,NBEATS+OL
3,E+T,47.539792,0.696216,42.156937,0.607765,35.104571,0.251547,34.596978,0.422093,27.883429,0.444797,24.666373,0.573934,26.326771,0.371092,NBEATS+OL
3,E+M,32.919263,0.319901,29.52585,0.250532,27.554116,0.164833,20.98931,0.395165,16.447952,0.202013,14.870137,0.254921,22.315511,0.256897,NBEATS+OL
3,E+T+M,48.277682,0.613484,45.169758,0.630555,36.941711,0.256738,36.358517,0.559124,29.732414,0.616215,26.479241,0.398542,29.908214,0.463003,NBEATS+OL
3,E,23.078321,0.224977,21.718647,0.181716,24.378444,0.213069,30.553512,4.661969,27.71579,3.139215,32.079151,6.374038,29.531696,1.778203,NBEATS
3,E+T,10.172782,0.649142,38.527852,0.628246,37.368308,0.944085,115.031939,16.1896,98.652606,13.627332,126.747866,18.189893,79.111516,8.835343,NBEATS
3,E+M,18.562136,0.104436,26.171379,0.182533,31.769478,0.310623,95.497733,2.071628,59.427264,1.525167,105.689458,2.589641,83.217892,1.438782,NBEATS
3,E+T+M,17.799168,0.089522,36.414561,0.178223,39.707737,0.38912,220.387297,4.995115,166.716917,4.146188,239.013457,4.88835,146.874074,4.189381,NBEATS
3,E,35.319762,4.257398,31.711525,1.792348,35.085735,4.359617,14.493932,2.92817,13.058701,2.281248,7.754516,1.481484,19.659369,2.160026,LSTM+OL
3,E+T,32.206042,0.662306,23.636049,0.397639,28.969836,2.273688,17.134042,2.374065,13.351531,1.957828,8.366474,1.347732,21.357467,2.759295,LSTM+OL
3,E+M,57.973523,21.717742,57.610597,18.113747,43.332521,8.213911,15.997151,2.112028,15.591895,2.178885,8.162681,0.457599,21.168909,1.121541,LSTM+OL
3,E+T+M,43.372532,16.687066,34.74171,4.359761,36.458477,2.49468,22.804871,7.729357,22.600355,7.294849,10.65911,3.134259,28.266,10.719368,LSTM+OL
3,E,29.233834,2.317232,28.638646,3.546839,33.51012,3.605195,104.253815,4.757078,81.688815,5.083156,123.172942,4.897955,69.163995,5.680093,LSTM
3,E+M,20.973918,3.671592,37.429027,5.335444,36.998013,3.604465,144.881461,9.580371,117.08465,9.161573,156.452461,10.015047,90.362714,6.413236,LSTM
3,E+T,28.711006,4.096324,27.448302,2.916961,32.771614,2.823643,96.818703,5.434531,69.901342,5.608777,113.169591,5.461607,71.79966,5.445232,LSTM
3,E+T+M,23.369627,2.340151,34.819719,5.294206,34.947526,1.980562,118.760397,6.602341,92.196792,4.953166,133.837547,6.069367,89.631384,6.936592,LSTM
3,E+T+M,28.181696,0.1148495,41.475344,0.3497574,55.249425,0.3564437,158.245589,2.241149,132.706759,2.117351,175.735643,2.468136,121.778904,1.587793,XGBoost
3,E,30.024802,0.1295493,35.7472,0.3505707,50.840786,0.9447881,157.645535,3.874828,132.866132,3.537934,176.790698,4.132518,115.966073,3.072196,XGBoost
3,E+T,53.983112,0.2920132,45.785582,0.3305016,61.656296,0.313591,160.144221,1.599728,134.875198,1.421501,180.58083,1.650136,121.063201,1.145597,XGBoost
